Number,x,y
1,1336,996
2,1050,985
3,1625,985
4,1055,631
5,1055,1297.5
6,1615,631
7,1615,1297.5
8,805,469
9,805,793
10,805,1137
11,805,1458
12,1865,469
13,1865,793
14,1865,1137
15,1865,1458
16,555,388
17,555,550
18,555,712
19,555,874
20,555,1056
21,555,1218
22,555,1380
23,555,1536
24,2115,388
25,2115,550
26,2115,712
27,2115,874
28,2115,1056
29,2115,1218
30,2115,1380
31,2115,1536
32,310,347.5
33,310,428.5
34,310,509.5
35,310,590.5
36,310,671.5
37,310,752.5
38,310,833.5
39,310,914.5
40,310,1015.5
41,310,1096.5
42,310,1177.5
43,310,1258.5
44,310,1339.5
45,310,1420.5
46,310,1495.5
47,310,1576.5
48,2360,347.5
49,2360,428.5
50,2360,509.5
51,2360,590.5
52,2360,671.5
53,2360,752.5
54,2360,833.5
55,2360,914.5
56,2360,1015.5
57,2360,1096.5
58,2360,1177.5
59,2360,1258.5
60,2360,1339.5
61,2360,1420.5
62,2360,1495.5
63,2360,1576.5
64,73,326
65,73,369
66,73,407
67,73,450
68,73,488
69,73,531
70,73,569
71,73,612
72,73,650
73,73,693
74,73,731
75,73,774
76,73,812
77,73,855
78,73,893
79,73,936
80,73,994
81,73,1037
82,73,1075
83,73,1118
84,73,1156
85,73,1199
86,73,1237
87,73,1280
88,73,1318
89,73,1361
90,73,1399
91,73,1442
92,73,1474
93,73,1517
94,73,1555
95,73,1598
96,2602,326
97,2602,369
98,2602,407
99,2602,450
100,2602,488
101,2602,531
102,2602,569
103,2602,612
104,2602,650
105,2602,693
106,2602,731
107,2602,774
108,2602,812
109,2602,855
110,2602,893
111,2602,936
112,2602,994
113,2602,1037
114,2602,1075
115,2602,1118
116,2602,1156
117,2602,1199
118,2602,1237
119,2602,1280
120,2602,1318
121,2602,1361
122,2602,1399
123,2602,1442
124,2602,1474
125,2602,1517
126,2602,1555
127,2602,1598
